"start","end","text"
"510","17490"," Друзья, привет! Сейчас погрузимся в позиционирование и упаковку наших аккаунтов. Это базовый уровень упаковки, чтобы мы поймали водопад трафика, смогли его сконверсить, направить и расти еще быстрее. В этом уроке мы подготовим и упакуем аккаунты перед водопадом трафика сейроликов, определимся с"
"17490","34790"," позиционированием как на аккаунтах с лицом, так и без лица и выберем основные столпы контента, которые будут резонировать с аудиторией. Когда у нас все упаковано правильно, у нас есть Ikigai, то есть мы ощущаем себя на своем месте, что мы делаем правильные вещи, это ценится, это переводит к"
"34790","51810"," деньгам, мы не выгораем и классно себя чувствуем. Также это помогает еще глубже, как прогревать людей к личности, если у нас аккаунт с лицом, так и лучше переливать аудиторию, если аккаунт с личностью. Выстраивать отношения с аудиторией, вовлекать, прогревать. Если аккаунт без лица, то просто"
"51810","69230"," гораздо эффективнее пылесосить весь трафик. Также сильно увеличивается конверсия среди тех людей, кто переходит к нам в профиль, если он правильно упакован, из перехода в подписку, потому что это прям сильно влияет на то, как быстро растет наш аккаунт. И, конечно, это влияет на то, как люди, кто"
"69230","87630"," переходит к нам в профиль, идут дальше по воронке, переходят в закрытый канал, переходят на воронку и покупают мини-продукты. И у нас существует два типа упаковки аккаунтов. Для аккаунта с лицом, где мы развиваем свою так называемую Я-нишу, об этом подробнее поговорим, и упаковка для аккаунтов без"
"87630","105490"," лица, которые мы просто используем для генерации трафика и автооплат. Самое важное, что я хочу, чтобы вы отсюда вынесли, это концепт, который я назвал Я-ниша. Это прям легендарный концепт для позиционирования аккаунтов, где есть лицо. Не обязательно наше, даже если мы развиваем аккаунт цифрового"
"105490","123010"," двойника и модельки, это также подойдет. Вот здесь, например, Иван, когда я только-только начал продвигаться, у меня был первый телеграм-канал, я развивал свой LinkedIn, я пробовал продвигаться в Нельзаграме, у меня было позиционирование, что я являюсь рекрутером. Рекрутер — это человек, кто"
"123010","141490"," подбирает сотрудников, и я делал это для изи-компании. Я быстро столкнулся с выгоранием, потому что была бешеная конкуренция из тысяч других рекрутеров, медленный рост. Я не хотел писать 24 на 7, просто узкие экспертные темы, начал уставать от своей ниши и чувствовал просто такое сожаление, что я"
"141490","160710"," не реализую свой предпринимательский потенциал. И меня очень легко было понять, потому что я один конкурировал против 50 тысяч таких же людей — рекрутеры, HR-ы, кто также продвигались онлайн и пытались привлечь клиентов. Конечно, здесь, в этом просто алам-океане, тишащим акулами конкурентами, было"
"160710","179750"," тяжело выделиться. У всех одинаковые продукты, одинаковое позиционирование, меня выбирали просто по цене и условиям, и категорически тяжело было привлечь классных клиентов, кто бы был со мной ради меня, и класс много платил. Я от этого просто устал и начал вести свои аккаунты от Ивана Сергеева. Не"
"179750","197570"," от рекрутера, не от специалиста по какой-то профессии, а от Ивана Сергеева, говоря на темы, которые мне нравятся, которые мне откликаются. А в первую очередь это обычные насущные проблемы, которые релевантны просто почти всем людям. Что-то про отношения, про психологию, про здоровье, мой взгляд на"
"197570","212730"," то, на это. И в результате я пришел просто в голубой океан. Там не было конкуренции, потому что не было других Иванов Сергеевых. Был быстрый рост, я перестал выгорать, потому что пишу про одно и то же, что мне даже не нравится. И меня начали ассоциировать с разными вещами. Это"
"212730","230350"," дало возможность запускать абсолютно все, что угодно у меня из канала. По здоровью, по психологии, я не только просто проконтензовод. Я стал тем, кем всегда мечтал быть. И таким образом я вырос гораздо быстрее, пробил первые 100 тысяч подписчиков, потому что у меня была моя я-ниша, ниша Иван"
"230350","250130"," Сергеев. Других таких просто не было. Дальше никнейм. Самое главное, чтобы он был читабельным. Например, Иван Сергеев. Классно работает. Приставка the или by. В общем, все то, что поможет очень ясно, благоскучно его прочитать. Я не советую использовать нижние подчеркивания, наборы таких звуков"
"250130","264950"," слов, которые вообще непонятно как-то воспроизвести. Человек где-то услышит, где-то увидит, даже не сможет сказать, кто это, как найти. И люди не смогут найти в поиске. И, конечно, развивать ключевые, предложив ключевые слова на несколько слов. Опять же, через поиск будет нас найти крайне трудно. "
"264950","281450"," Поэтому самое идеальное для благозвучания, это просто имя, фамилия, либо наш псевдоним. И если он занят, то просто какая-то приставка рядом с ним. Самый важный инсайт. Я понял, что людям неинтересно смотреть что-то экспертное-экспертное. Потому что люди входят развлекаться. Люди ходят в соцсети"
"281450","297650"," подглядеть, какая жизнь у других людей. Просто отдохнуть, расслабиться, получить быстрое удовольствие, а не погружаться в какую-то экспертность. Особенно в коротких эйроликах. Конечно, например, в Телеграме, либо в Максе, когда мы раскрываем какие-то глубокие смыслы. У нас сам прогрев или запуск."
