"start","end","text"
"1029","19590"," Итак, дорогие друзья, я рада вас приветствовать на нашем уроке. Сегодня мы будем говорить вот о чём. Дело в том, что делать первый шаг, это всегда очень волнительно, это всегда очень переживательно. И когда у человека происходит сначала вдохновение, и он доходит до этой границы, что сейчас я начну"
"19590","38030"," делать первый шаг, для него так время замедляется, он постепенно, постепенно переносит этот момент. Я начну с понедельника, я начну чуть попозже, я начну там со следующего месяца и так далее. И мы сегодня поговорим с вами о том, как делать первые шаги и не обжечься. Потому что, естественно, когда"
"38030","55710"," мы делаем первые шаги, мы начинаем волноваться, а вдруг это будет как-то не так, да, вдруг у нас что-то сложится не таким образом, как мы себе планировали. И я вам сегодня предлагаю прям разобрать, с чем вы столкнетесь на первых шагах. Первое, что у вас будет проступать сквозь"
"55710","76530"," полотно жизни, это страхи. Вы будете говорить о том, что вот здесь я боюсь, вот здесь я волнуюсь, вот здесь мне страшно. И вы эти страхи будете как-то визуализировать, вы в них будете заходить. И там нужно правильно к этим страхам научиться относиться. Потому что страх, это не всегда"
"76530","97310"," про то, что действительно страшно. Чаще всего наше тело переживает страх одним образом, то есть, когда у вас трясутся руки, подкашиваются колени, когда у вас что-то происходит в животе, когда вам действительно страшно через тело. А есть ощущения и состояния, которые мы называем страхом, но страхами"
"97310","119250"," они не являются. Это совсем другое состояние, вам нужно научиться его опознавать. Страх это то, чего вы действительно боитесь. А вот то, что вы называете страхом, да, я боюсь там сделать, выпустить новый рилс, я боюсь отправить, я боюсь там хейта какого-то и так далее, как правило, это переживания,"
"119410","137610"," которые связаны с чем-то, да, с неуверенностью, переживания, связанные с новой деятельностью. Потому что всё новое, что мы делаем в своей жизни, оно всегда сопровождается вот этим состоянием, который мы привыкли называть страх. Его еще по-другому называют как страх новизны. Как вы понимаете, к"
"137610","157630"," слову, боюсь это не относится никак. Вторая часть, с чем вы столкнетесь, это замирание. Замирание это такой переход в саботажника, переход в прокастинацию, переход в замедление вот этой скорости, когда вы подходите к тому, что вот всё, я готов, но почему-то не делают. Это такое замирание, это"
"159230","176750"," типичное состояние, когда у вас происходит что-то новое в жизни. То есть у нас есть три стратегии, когда мы сталкиваемся с чем-то, что для нас новое, значимое, что для нас несет какую-то нагрузку, какие-то смыслы, и мы не до конца понимаем, что нам делать и куда"
"176750","197070"," идти. У нас есть три стратегии. Бей, замри и беги, соответственно. И вот замирание это одна из частых стратегий, когда мы не до конца понимаем, какие инструменты мы имеем, каких инструментов нам не хватает. И человек говорит, мне что-то мешает. Давайте честно, что это не про какую-то искусственную"
