"start","end","text"
"460","15920"," Друзья, привет! И мы начинаем с самого нашего базового урока в нашем продвинутом модуле Instagram с нуля до профи. Здесь будет вся необходимая база, чтобы даже новичок смог разобраться и понять, а опытный пользователь повторить все моменты, чтобы у нас не было ни одной технической ошибки. Поэтому"
"15920","33500"," мы разберем, как активировать новый или реактивировать старый аккаунт в запрещенном раме, какие вообще там есть основные функции, какие есть форматы контента, что с ним сделать, и самое главное, как там чат GPT у нас устроен, как он вместе с инстой взаимодействует, и для чего вообще нам там не"
"33500","48800"," рассесть. И самый наш первый шаг это VPN. Нам нужен VPN, чтобы мы могли продвигаться именно на ту аудиторию и на ту страну, где мы хотим показываться. Это логично. Но здесь бывают разные истории. Кто-то живет за рубежом, или кто-то живет, например, в России и хочет показываться на"
"48800","67740"," зарубежку. Что же нам делать? Итак, здесь базовое правило. Мы должны ставить регион в нашем VPN тот, на аудиторию какой страны мы хотим продвигаться. Если мы находимся в СНГ или в России и хотим показываться на Россию, то Best Practice, самый лучший VPN, который я рекомендую, это VPN, где страна"
"67740","84780"," Беларусь. Здесь есть, например, ссылочка на VPN в телеге, называется тотvpnbot. Также будет ссылочка под уроком. Он является самопроверным, и я рекомендую использовать его, когда мы как раз продвигаемся по России, чтобы у нас был регион Беларусь. Что делать, если мы находимся за рубежом и все равно"
"84780","102620"," хотим продвигаться на аудиторию русскоговорящую? Если мы хотим продвигаться на русскоговорящую аудиторию, кто находится в России, то нам тоже понадобится VPN на Беларусь. Но если мы хотим продвигаться на русскоязычную аудиторию вообще по миру, то в таком случае нам не нужен VPN вообще никакой. То"
"102620","119440"," есть мы просто постим из той страны, где мы находимся. Если мы хотим из России продвигаться на зарубежку, на Германию, на Францию, на Испанию, на Штаты, то мы должны использовать VPN каждой из этих стран. По поводу Штатов я всегда рекомендую использовать Нью-Йорк, потому что он находится на правом"
"119440","137360"," побережье. Если мы будем использовать VPN-чик из другого побережья, то у нас гораздо больше шанс показываться на Индию. Поэтому я рекомендую использовать Нью-Йорк. Если вы находитесь, например, в Европе и хотите показываться на европейскую аудиторию, любая страна там язык, то нам вообще не нужен"
"137360","154440"," VPN. Мы просто постим оттуда, вообще технически никак не заморачиваемся. Далее, сколько аккаунтов нам вообще нужно использовать? В рамках нашей методологии я рекомендую использовать минимум 3 аккаунта. Это не во всех случаях, но если вы стартуете с нуля, если у вас еще нет аккаунта, который"
"154440","171840"," невероятно как пробил алгоритмы и залетает именно на нейрописаниях, то нам понадобится несколько аккаунтов. Почему просто диверсификация? Если у нас только один аккаунт, мы рискуем, что он не понравится алгоритмам и он не будет залетать просто потому, что он их не пробил сам по себе. То есть наши"
"171840","189480"," релзы хорошие, у нас все технически правильно настроено, но Инстай его просто не взлюбило. Поэтому нам очень важно, чтобы у нас было 3 аккаунта, из которых мы выберем один. Иногда бывает, что 3 аккаунтов недостаточно. Это случается редко. В таком случае мы добавляем просто новые аккаунты, когда"
"189480","208880"," один из этих трех, который вообще никак не залетел, мы удалили. Обычно нам достаточно примерно 2 недели, чтобы понять, как хорошо себя показывает аккаунт. Если там ролики залетают на 1000 просмотров, это шикарно green flag, мы можем остановиться на одном из этих 3 аккаунтов. Как только мы поняли за"
"208880","227480"," 2-3 недели, какой аккаунт прям пробил алгоритмы, шикарно залетает, остальные 2 аккаунта можно просто убрать, удалить. Если у нас такая ситуация, что мы прям все делаем правильно, у нас шикарные заголовки, у нас дефицитность, у нас шикарные видеоподложки, все классно, но при этом ничего не залетает,"
"227960","243880"," есть риск что-то не потому, что у вас что-то не то, просто инстантно не влюбило эти аккаунты, мы это просто проделываем заново. И мы хотим это делать как можно чаще, как можно быстрее. Просто по одной причине, что многие люди сидят там годами, на аккаунте, который ну мертворожден,"
"243980","261520"," он просто проклят условно. Например, у некоторых был раньше таргет на аккаунте, а это ни в коем случае нельзя делать, это прям убивает потенциал для игральности, потому что раз мы платили когда-то деньги инстаграму, он специально занижает просмотры на наших рилзах, чтобы мы еще платили. Или"
"261520","276840"," например, у нас аудитория была набрана с гивов, или там какие-то боты, и при этом боты, которые используются какими-то сервисами, и в результате инстант показывает им наши рилзы, но они конечно не смотрят, и наши ролики так никогда не залетят. Или иногда бывает проблема, что у нас прям"
"276840","294440"," очень много старых подписчиков, пару тысяч, мы их удалить не можем, это займет на месяц, сколько мы времени потратим, и если мы их столько удалим, мы критически опустим теневой рейтинг аккаунта. А старые подписчики, если они не взаимодействуют очень глубоко с нашими роликами, они будут понижать"
"294440","312640"," веральный потенциал всех наших рилз. То есть у нас бывают разные причины, почему аккаунты не залетают. И вместо того, чтобы думать, ожидать, гадать, нам надо, чтобы у нас было просто несколько аккаунтов. Лучше всего, по опыту, себя показывают старые аккаунты, которые у вас уже были когда-то там"
